Model,Fuel Barrels/Year
B2300/B3000/B4000 Pickup 4WD,19.08986667714177
B2500,16.088107142857144
B2500 2WD,16.521804511278198
B2500 Van 2WD,24.449093406593406
B2500 Wagon 2WD,25.1030815018315
B2500/B3000/B4000 2WD,18.288584733893558
B2500/B3000/B4000 4WD,20.297674632352944
B2600 4x4,20.641018382352943
B2600i 4x4,19.388823529411766
B3000,18.742529411764707
B3000 (FFV) Ethanol 2WD,19.388823529411766
B3000 2WD,18.850245098039217
B3000 2WD FFV,19.388823529411766
B3000 4WD,20.425587009803923
B3000 FFV 2WD,18.957960784313727
B3000 FFV 4WD,20.681411764705885
B350 Van 2WD,27.11174769348299
B350 Wagon 2WD,29.632978063603066
B3500 Van 2WD,24.80124084249084
B3500 Wagon 2WD,28.363875291375294
B4000,19.994724264705884
B4000 2WD,19.27100949754902
B4000 4WD,21.49331875
B7,20.600625
B9 Tribeca AWD,18.311666666666667
BMW 325I,21.974
BMW 325i,21.974
BMW535I,23.543571428571425
BMW635CSI,23.543571428571425
BMW635L6,23.543571428571425
BMW735I,23.543571428571425
BMW735IL,23.543571428571425
BRZ,12.576627063492063
Baja AWD,16.74030716401393
Beetle,12.510511080008927
Beetle Convertible,12.653670580628193
Beetle Dune,12.207777777777777
Bentayga,21.974
Beretta,14.913898171591255
Bitter SC,21.05841666666667
Biturbo,24.621573783359498
Biturbo 425,24.750934065934064
Biturbo Spyder,24.750934065934064
Blackwood 2WD,25.35461538461539
Blazer 1500 4WD,25.674225274725277
Blazer 2WD,19.54086241673703
Blazer 4WD,21.398525448815892
Blazer AWD,20.600625
Blazer V1500 4WD,24.6652032607915
Bonneville,17.355885361059972
Borrego 2WD,18.311666666666667
Borrego 4WD,18.850245098039217
Boss F150 Super Cab 2WD,27.4675
Boxster,15.499880871404784
Boxster GTS,14.083336363636365
Boxster S,15.859249901233524
Boxster Spyder,15.02135691699605
Brat 4WD,14.766482505175983
Bravada 2WD,20.600625
Bravada AWD,20.79451323529412
Breeze,14.043309478134015
Bronco 4WD,25.49740134067095
Bronco II 2WD,18.15232647684273
Bronco II 4WD,19.425150899859947
Brooklands,28.71602272727273
Brooklands R,27.4675
Brooklands R Limo,29.96454545454546
Brooklands and (LWB),29.132196969696974
Brooklands/Brklnds L,29.96454545454546
Brougham,19.092605392156866
Brougham/DeVille (RWD),19.399955357142858
C-MAX Energi Plug-in Hybrid,4.87870354125
C-MAX Hybrid FWD,8.24025
C/V,15.957309523809526
C/V Cargo Van,16.4805
C/V Tradesman,15.695714285714288
C10 Pickup 2WD,21.076967840982547
C15 Pickup 2WD,21.076967840982547
C15 Suburban 2WD,23.958890864037926
C1500 Pickup 2WD,21.99362786640297
C20 Pickup 2WD,22.46536036369676
C220,14.76513833992095
C230,15.672585936184335
C230 Kompressor,14.741356954639565
C230 Kompressor Sports Coupe,14.181589673913045
C240,17.371989035087722
C240 (Wagon),17.829780701754387
C240 4matic,17.347894736842107
C240 4matic (Wagon),17.347894736842107
C240 FFV,16.4805
C240 FFV (Wagon),16.4805
C25 Pickup 2WD,22.434554333271773
C250,13.184400000000002
C250 Coupe,13.1844
C2500 Pickup 2WD,22.388719160460656
C2500 Sierra 2WD,22.38468648968785
C280,16.06161384521911
C280 4matic,16.4805
C30 FWD,14.035325537988582
C300,14.625551948051948
C300 4matic,15.126546464646465
C300 4matic Convertible,13.1844
C300 4matic Coupe,13.1844
C300 4matic FFV,16.4805
C300 Convertible,12.677307692307696
C300 Coupe,12.677307692307696
C300 FFV,15.695714285714288
C32 AMG,19.792757352941177
C320,17.363957602339184
C320 (Wagon),17.380020467836257
C320 4matic,16.914197368421053
C320 4matic (Wagon),16.914197368421053
C320 4matic Sedan,16.4805
C320 FFV,16.4805
C320 FFV (Wagon),16.4805
C320 Sports Coupe,17.829780701754387
C320 Sports Coupe FFV,16.914197368421053
C350,15.183897515527951
C350 4matic,17.347894736842107
C350 4matic Coupe,14.98227272727273
C350 Coupe,14.493720355731227
C36,18.311666666666667
C36 AMG,17.829780701754387
C400 4matic,13.73375
C43,19.388823529411766
C43 AMG,18.311666666666667
C450 AMG,13.73375
C55 AMG,19.994724264705884
C63 AMG,21.974
C63 AMG Black Series Coupe,21.974
C63 AMG Coupe,21.974
C70,16.76963157894737
C70 Convertible,16.41706807196563
C70 Coupe,16.088107142857144
C70 FWD,14.775478072651987
C8,21.974
C8 Aileron,19.388823529411766
C8 Double 12 S,21.974
C8 Double 12 Spyder,21.974
C8 Laviolette,21.974
C8 Spyder,21.974
C8 Spyder Wide Body,21.974
CC,13.645888121118015
CC 4motion,16.4805
CJ7,19.7869868697479
CJ7 4WD,18.1911276844071
CJ8 4WD,18.311666666666667
CL500,19.792757352941177
CL55 AMG,20.88337867647059
CL550,19.994724264705884
CL550 4matic,18.67071895424837
CL600,23.402083619505493
CL63 AMG,20.70779111644658
CL65 AMG,24.348479853479855
CLA250,10.987
CLA250 4matic,12.207777777777777
CLA45 AMG 4matic,12.677307692307696
CLK320,15.900828733766236
CLK320 (Cabriolet),16.4805
CLK320 Cabriolet,16.4805
CLK350,16.4805
CLK350 (Cabriolet),16.697348684210525
CLK430,17.588837719298247
CLK430 (Cabriolet),18.311666666666667
CLK500,18.850245098039217
CLK500 (Cabriolet),18.67071895424837
CLK55 AMG,19.44268137254902
CLK55 AMG (Cabriolet),19.994724264705884
CLK550,19.388823529411766
CLK550 (Cabriolet),19.388823529411766
CLK63 AMG,23.543571428571425
CLK63 AMG (Cabriolet),23.543571428571425
CLS400,13.73375
CLS400 4matic,14.98227272727273
CLS500,20.600625
CLS55 AMG,21.974
CLS550,18.139251623376627
CLS550 4matic,17.058763157894738
CLS63 AMG,21.22019266917293
CLS63 AMG 4matic,18.311666666666667
CLS63 AMG S,17.347894736842107
CLS63 AMG S 4matic,18.311666666666667
CR-V 2WD,14.207390274999508
CR-V 4WD,14.965074305163437
CR-Z,9.30139507154213
CSX,16.4805
CT 200h,7.847857142857142
CT6,13.1844
